,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,tweet_preprocessed,positive_score,negative_score,neutral_score,compound_score,sentiment
65,EModrusan,2018-07-18 11:10,0,1,"Honestly, fuck Amazon for taking advantage of my need to save money and making me spend hundreds of dollars on things I don't need #PrimeDay #smartmarketingforreal",,,#PrimeDay #smartmarketingforreal,1019456750603210752,https://twitter.com/EModrusan/status/1019456750603210752,"honestly, fuck amazon taking advantage need save money making spend hundreds dollars things need #primeday #smartmarketingforreal",0.406,0.143,0.451,0.6597,positive
81,_noticemesenpai,2018-07-18 11:04,0,1,"oOF $30.39 for just ONE RANDOM version of a MYSTERY album, BigHit has me shook and broke at the same time.. but I have full faith in my boys :') @BTS_twt @bts_bighit #LOVE_YOURSELF_結_Answer #PrimeDay #preorder pic.twitter.com/hu5SeU7ocz",,@BTS_twt @bts_bighit,#LOVE_YOURSELF_ #PrimeDay #preorder,1019455368978563072,https://twitter.com/_noticemesenpai/status/1019455368978563072,"oof $30.39 one random version mystery album, bighit shook broke time.. full faith boys :') @bts_twt @bts_bighit #love_yourself_結_answer #primeday #preorder",0.232,0.16,0.608,0.4404,positive
91,DakotaTheBerner,2018-07-18 10:59,0,1,"Yeah, I’m way better looking than all those silly dogs Dad saw on @amazon when he tried to buy prime day stuff #amazon #amazonprime #primeday #amazonprimeday #primeday2018 #dealoftheday https:// ift.tt/2Nm6WEG pic.twitter.com/lTQEexCODl",,@amazon,#amazon #amazonprime #primeday #amazonprimeday #primeday2018 #dealoftheday,1019454164999528448,https://twitter.com/DakotaTheBerner/status/1019454164999528448,"yeah, i’m way better looking silly dogs dad saw @amazon tried buy prime day stuff #amazon #amazonprime #primeday #amazonprimeday #primeday2018 #dealoftheday",0.256,0.0,0.744,0.6369,positive
94,Jomoointer,2018-07-18 10:58,0,0,Get a Reddot Winner to highlight your bathroom! More details at https:// amzn.to/2L3AAlB #primeday #primejomoo pic.twitter.com/NrjHqsyueZ,,,#primeday #primejomoo,1019453815114747904,https://twitter.com/Jomoointer/status/1019453815114747904,get reddot winner highlight bathroom! details #primeday #primejomoo,0.52,0.0,0.48,0.7574,positive
98,dougrichard990,2018-07-18 10:58,0,0,2016: Mikey and Bob mention prime day toilet light deal 2017: Bob purchases toilet light 2018: Bob still loves toilet light #PrimeDay #TrustTheProcess @fsmikey @FSBigBob,,@fsmikey @FSBigBob,#PrimeDay #TrustTheProcess,1019453796404080640,https://twitter.com/dougrichard990/status/1019453796404080640,: mikey bob mention prime day toilet light deal : bob purchases toilet light : bob still loves toilet light #primeday #trusttheprocess @fsmikey @fsbigbob,0.156,0.0,0.844,0.5719,positive
104,gibby0816,2018-07-18 10:55,0,0,The rich will be richer #unionize #PrimeDay2018 #PrimeDay,,,#unionize #PrimeDay2018 #PrimeDay,1019452991370350592,https://twitter.com/gibby0816/status/1019452991370350592,rich richer #unionize #primeday2018 #primeday,0.7,0.0,0.3,0.7906,positive
105,BPassVentures,2018-07-18 10:55,0,0,Only through #primeday get 40% OFF iPhone kickstand cases. Each case has a card holder for your credit card. Limited supply - Free Shipping for Amazon Prime customers. #AmazonPrime #Amazon #iPhone http:// ow.ly/cHGw30kXQIk pic.twitter.com/gO3cbAHFvU,,,#primeday #AmazonPrime #Amazon #iPhone,1019452984726573058,https://twitter.com/BPassVentures/status/1019452984726573058,#primeday get % iphone kickstand cases. case card holder credit card. limited supply - free shipping amazon prime customers. #amazonprime #amazon #iphone,0.298,0.075,0.627,0.6908,positive
114,lkblackburne,2018-07-18 10:53,0,1,So this is weird. The #PrimeDay special for Rosemarked is active again for another 56 min. $8.42 for a hardcover https://www. amazon.com/Rosemarked-Liv ia-Blackburne/dp/1484788559/ref=as_li_ss_tl_nodl?ie=UTF8&qid=1531777020&sr=8-1&keywords=rosemarked&smid=ATVPDKIKX0DER&linkCode=sl1&tag=livblaabrasci-20&linkId=303466aac535b6bebc24551f012fbba3#featureBulletsAndDetailBullets_secondary_view_div_1531785155740 …,,,#PrimeDay #featureBulletsAndDetailBullets_secondary_view_div_1531785155740,1019452570807353344,https://twitter.com/lkblackburne/status/1019452570807353344,weird. #primeday special rosemarked active another min. $8.42 hardcover . ia-blackburne/dp/1484788559/ref=as_li_ss_tl_nodl?ie=utf8&qid=1531777020&sr=8-1&keywords=rosemarked&smid=atvpdkikx0der&linkcode=sl1&tag=livblaabrasci-20&linkid=303466aac535b6bebc24551f012fbba3#featurebulletsanddetailbullets_secondary_view_div_1531785155740 …,0.358,0.113,0.53,0.5719,positive
115,cybelenegris,2018-07-18 10:53,0,0,The latest The Women Entrepreneur Daily! https:// paper.li/cybelenegris/1 498108898?edition_id=a0629b70-8a4a-11e8-9bc1-0cc47a0d164b … Thanks to @NotGeauxGabby @AdvanceBizWomen @deviah #stem #primeday,,@NotGeauxGabby @AdvanceBizWomen @deviah,#stem #primeday,1019452481305300992,https://twitter.com/cybelenegris/status/1019452481305300992,latest women entrepreneur daily! 1 ?edition_id=a0629b70-8a4a-11e8-9bc1-0cc47a0d164b … thanks @notgeauxgabby @advancebizwomen @deviah #stem #primeday,0.225,0.0,0.775,0.4926,positive
116,adrianaaaaxo,2018-07-18 10:53,0,0,The Ancestry DNA kit is well under $100 as a #PrimeDay deal! Getting the results is incredible - a must for yourself and a great gift too! (affiliate link) Grab it here https:// amzn.to/2NmQELU #AmazonPrimeDay #PrimeDay2018 pic.twitter.com/qUvFzLmK5w,,,#PrimeDay #AmazonPrimeDay #PrimeDay2018,1019452468244242432,https://twitter.com/adrianaaaaxo/status/1019452468244242432,ancestry dna kit well $100 #primeday deal! getting results incredible - must great gift too! (affiliate link) grab #amazonprimeday #primeday2018,0.377,0.0,0.623,0.8652,positive
118,vishwakarmashub,2018-07-18 10:52,0,2,I bet U can't find anything cuter than this. Love him. #fromweb #WorldEmojiDay #PrimeDay #MarvelSDCC #dogsoftwitter #dogsofinstagram #dogs #doglovers #DogLover @dogs @dog_rates pic.twitter.com/dCjH2LkCST,,@dogs @dog_rates,#fromweb #WorldEmojiDay #PrimeDay #MarvelSDCC #dogsoftwitter #dogsofinstagram #dogs #doglovers #DogLover,1019452270151233537,https://twitter.com/vishwakarmashub/status/1019452270151233537,bet can't find anything cuter this. love him. #fromweb #worldemojiday #primeday #marvelsdcc #dogsoftwitter #dogsofinstagram #dogs #doglovers #doglover @dogs @dog_rates,0.202,0.109,0.688,0.5103,positive
121,MomMinnow,2018-07-18 10:51,0,0,Save 31% on The Learning Journey Jumbo Numbers Floor Puzzle now! https:// amzn.to/2zKhQlI #AmazonAffiliate #PrimeDay #kids #learning #educational #momlife #dadlife #family,,,#AmazonAffiliate #PrimeDay #kids #learning #educational #momlife #dadlife #family,1019452131365904384,https://twitter.com/MomMinnow/status/1019452131365904384,save % learning journey jumbo numbers floor puzzle now! #amazonaffiliate #primeday #kids #learning #educational #momlife #dadlife #family,0.189,0.0,0.811,0.5411,positive
128,coachhilldrive,2018-07-18 10:48,0,0,Doesn't this #custom #sign just sum up everything? Hope you're scoring some good deals during #PrimeDay ⁠ ⁠! #AmazonPrimeDay ⁠ ⁠ #target #costco #HomeDecor #scrippsranch pic.twitter.com/4MlTR6ljiW,,,#custom #sign #PrimeDay #AmazonPrimeDay #target #costco #HomeDecor #scrippsranch,1019451361669156865,https://twitter.com/coachhilldrive/status/1019451361669156865,#custom #sign sum everything? hope scoring good deals #primeday ⁠ ⁠! #amazonprimeday ⁠ ⁠ #target #costco #homedecor #scrippsranch,0.276,0.0,0.724,0.7263,positive
129,ThatsRubyRod,2018-07-18 10:47,0,1,"Make sure when shopping on @amazon , you support a charity, even outside of #PrimeDay ! I support @HPNutriScan ! @AmazonSmile . #YouShopAmazonGives https:// smile.amazon.com/ref=cm_sw_r_tw _asps_IhgHP.681W9EV …",,@amazon @HPNutriScan @AmazonSmile,#PrimeDay #YouShopAmazonGives,1019451116168318976,https://twitter.com/ThatsRubyRod/status/1019451116168318976,"make sure shopping @amazon , support charity, even outside #primeday ! support @hpnutriscan ! @amazonsmile . #youshopamazongives _asps_ihghp.681w9ev …",0.502,0.0,0.498,0.8774,positive
131,NewRationalist,2018-07-18 10:46,0,0,#PrimeDay Another example of our capitalist overlords manipulating us into buying things we don't need to impress people we don't care about.,,,#PrimeDay,1019450791206113280,https://twitter.com/NewRationalist/status/1019450791206113280,#primeday another example capitalist overlords manipulating us buying things need impress people care about.,0.311,0.128,0.561,0.5574,positive
145,abetterlifeblog,2018-07-18 10:42,0,0,"After all the #PrimeDay shopping, I think I'll treat myself to a FREE hot dog! #NationalHotDogDay FREE Hot Dog at @PilotFlyingJ Wed. July 18 ---> http:// savingtowardabetterlife.com/2018/07/free-h ot-dog-at-pilot-flying-j-travel-centers-on-july-18 …",,@PilotFlyingJ,#PrimeDay #NationalHotDogDay,1019449741904695296,https://twitter.com/abetterlifeblog/status/1019449741904695296,"#primeday shopping, think i'll treat free hot dog! #nationalhotdogday free hot dog @pilotflyingj wed. july ---> ot-dog-at-pilot-flying-j-travel-centers-on-july-18 …",0.39,0.0,0.61,0.8622,positive
146,Beth4animals,2018-07-18 10:41,0,1,"AMAZON PRIME DAY IS TODAY! When you #StartwithaSmile , your shopping makes a difference. Amazon donates to Cat House on the Kings when you shop Prime Day deals at http:// smile.amazon.com/ch/27-0015288 =^..^= @amazon #PrimeDay pic.twitter.com/fr6kRXQ20n",,@amazon,#StartwithaSmile #PrimeDay,1019449563524915203,https://twitter.com/Beth4animals/status/1019449563524915203,"amazon prime day today! #startwithasmile , shopping makes difference. amazon donates cat house kings shop prime day deals 288 =^..^= @amazon #primeday",0.163,0.0,0.837,0.4003,positive
148,TheCut,2018-07-18 10:41,1,4,The first step to being the best dinner party host of your friend group! #Primeday https:// thecut.io/2zJI0VW,,,#Primeday,1019449440334163968,https://twitter.com/TheCut/status/1019449440334163968,first step best dinner party host friend group! #primeday,0.634,0.0,0.366,0.8858,positive
149,FuckAgree,2018-07-18 10:40,0,0,"Kink Your Kindle: Hot new books to educate, arouse, inspire #PrimeDay : Use code… https:// goo.gl/fb/HHjoit #FuckBuddy",,,#PrimeDay #FuckBuddy,1019449351171661824,https://twitter.com/FuckAgree/status/1019449351171661824,"kink kindle: hot new books educate, arouse, inspire #primeday : use code… #fuckbuddy",0.252,0.0,0.748,0.5719,positive
151,lori_milk,2018-07-18 10:39,0,0,Link oficial. #BTS LOVE YOURSELF 結 'Answer' #BTSAnswerPreOrderNow @BTS_twt #PrimeDay Amazon: https:// goo.gl/PaJCf1,,@BTS_twt,#BTS #BTSAnswerPreOrderNow #PrimeDay,1019449121177030656,https://twitter.com/lori_milk/status/1019449121177030656,link oficial. #bts love 結 'answer' #btsanswerpreordernow @bts_twt #primeday amazon: 1,0.424,0.0,0.576,0.7096,positive
159,Starling_Social,2018-07-18 10:37,0,0,The real hero of #PrimeDay pic.twitter.com/iigPyx7idR,,,#PrimeDay,1019448439044702208,https://twitter.com/Starling_Social/status/1019448439044702208,real hero #primeday,0.643,0.0,0.357,0.5574,positive
169,samjocarini,2018-07-18 10:34,0,0,"It’s not like I’m asking to win a MacBook, but when you can’t even win a meat thermometer or a knee brace there’s a problem. #PrimeDay",,,#PrimeDay,1019447732249845761,https://twitter.com/samjocarini/status/1019447732249845761,"it’s like i’m asking win macbook, can’t even win meat thermometer knee brace there’s problem. #primeday",0.407,0.109,0.484,0.8126,positive
170,iumvishwesh,2018-07-18 10:34,0,1,"As Jeff Bezos became the richest man in modern history, Amazon's employees went on a strike during #PrimeDay sale. #AmazonDown @amazonIN",,@amazonIN,#PrimeDay #AmazonDown,1019447687693807616,https://twitter.com/iumvishwesh/status/1019447687693807616,"jeff bezos became richest man modern history, amazon's employees went strike #primeday sale. #amazondown @amazonin",0.19,0.084,0.726,0.4404,positive
173,MomMinnow,2018-07-18 10:33,0,0,Save $30 on Echo (echo... echo... echo...) https:// amzn.to/2NWK2VD #AmazonAffiliate #PrimeDay,,,#AmazonAffiliate #PrimeDay,1019447497427640320,https://twitter.com/MomMinnow/status/1019447497427640320,save $30 echo (echo... echo... echo...) #amazonaffiliate #primeday,0.314,0.0,0.686,0.4939,positive
177,skitzohousecat,2018-07-18 10:32,0,0,Caveblazers livenow! It's good http:// twitch.tv/sktizohousecat #AllStarGame #IAmACreator #TwitchFam #TwitchFamRT #supportallstreamers #supportsmallerstreams #SupportSmallStreamers #follow #PrimeDay,,,#AllStarGame #IAmACreator #TwitchFam #TwitchFamRT #supportallstreamers #supportsmallerstreams #SupportSmallStreamers #follow #PrimeDay,1019447413805682688,https://twitter.com/skitzohousecat/status/1019447413805682688,caveblazers livenow! good #allstargame #iamacreator #twitchfam #twitchfamrt #supportallstreamers #supportsmallerstreams #supportsmallstreamers #follow #primeday,0.225,0.0,0.775,0.4926,positive
184,Slate,2018-07-18 10:31,0,4,"From TVs to toothbrushes and beauty products, we're collecting some of the best deals for #PrimeDay : https:// slate.trib.al/T3DLNmK pic.twitter.com/e76CgWsDt5",,,#PrimeDay,1019447091519721474,https://twitter.com/Slate/status/1019447091519721474,"tvs toothbrushes beauty products, we're collecting best deals #primeday :",0.533,0.0,0.467,0.8402,positive
186,bhart62,2018-07-18 10:31,0,0,"#RT @appleinsider : Only a few hours remain to take advantage of #Amazon #PrimeDay discounts. Save up to 50% on Amazon gadgets, up to 40% off smart home accessories & more http:// amzn.to/2LlCw52 pic.twitter.com/Fh1Tt5fqSa",,@appleinsider,#RT #Amazon #PrimeDay,1019447056753135617,https://twitter.com/bhart62/status/1019447056753135617,"#rt @appleinsider : hours remain take advantage #amazon #primeday discounts. save % amazon gadgets, % smart home accessories & 2",0.466,0.0,0.534,0.8225,positive
188,rhnlynv,2018-07-18 10:30,0,1,So excited for my cricut and printer to come in!!! I’m overwhelmed with ideas thanks #PrimeDay,,,#PrimeDay,1019446757132886016,https://twitter.com/rhnlynv/status/1019446757132886016,excited cricut printer come in!!! i’m overwhelmed ideas thanks #primeday,0.513,0.0,0.487,0.7488,positive
196,youronly_hope,2018-07-18 10:29,0,0,"NEVER drink and “Prime”. I woke up from my post-drunken nap to find out I am now the proud owner of a heated bidet toilet seat, complete with nightlight and wireless remote...and a 260 count pack of gel pens. #primeday #amazon #tipsytemptations pic.twitter.com/sycYz2bK1w",,,#primeday #amazon #tipsytemptations,1019446490928959490,https://twitter.com/youronly_hope/status/1019446490928959490,"never drink “prime”. woke post-drunken nap find proud owner heated bidet toilet seat, complete nightlight wireless remote...and count pack gel pens. #primeday #amazon #tipsytemptations",0.119,0.0,0.881,0.4767,positive
198,kathryn_jade,2018-07-18 10:28,0,0,Played my cards right on #PrimeDay and scored an $80 blow dryer for $59 THEN A $130 FLAT IRON FOR $22! I am the princess and I won today!,,,#PrimeDay,1019446268727357440,https://twitter.com/kathryn_jade/status/1019446268727357440,played cards right #primeday scored $80 blow dryer $59 $130 flat iron $22! princess today!,0.176,0.0,0.824,0.4559,positive
200,walruswins,2018-07-18 10:27,0,1,"FYI @Amazon got some deals for miners. GPUs still more expensive than when I first bought, but popularity is way up. Got @LedgerHQ on sale too, it’s good to keep your #crypto safe and off exchanges. #PrimeDay pic.twitter.com/SPjJPy8pMB",,@Amazon @LedgerHQ,#crypto #PrimeDay,1019446069124427776,https://twitter.com/walruswins/status/1019446069124427776,"fyi @amazon got deals miners. gpus still expensive first bought, popularity way up. got @ledgerhq sale too, it’s good keep #crypto safe exchanges. #primeday",0.349,0.0,0.651,0.8658,positive
202,OlMktgPro,2018-07-18 10:26,0,0,"Amazon crashes on #PrimeDay , creating a less than prime shopping experience by AmyGesenhues https:// mklnd.com/2zNUZps pic.twitter.com/5QckaY065i",,,#PrimeDay,1019445748784607233,https://twitter.com/OlMktgPro/status/1019445748784607233,"amazon crashes #primeday , creating less prime shopping experience amygesenhues",0.358,0.0,0.642,0.4404,positive
203,LiteXimOfficial,2018-07-18 10:25,0,0,Enjoy awesome music with awesome LiteXim ANC Headphones http:// suo.im/4Z3JBC #Enjoy #Amazon #PrimeDay pic.twitter.com/A66bAqCgNU,,,#Enjoy #Amazon #PrimeDay,1019445500712382464,https://twitter.com/LiteXimOfficial/status/1019445500712382464,enjoy awesome music awesome litexim anc headphones c #enjoy #amazon #primeday,0.62,0.0,0.38,0.9081,positive
204,JonofdoomRBLX,2018-07-18 10:25,0,0,This year's #PrimeDay was great. I bought a Fire TV Stick at a good price. Can't wait for when it arrives!,,,#PrimeDay,1019445498284052480,https://twitter.com/JonofdoomRBLX/status/1019445498284052480,year's #primeday great. bought fire tv stick good price. can't wait arrives!,0.39,0.128,0.481,0.7088,positive
213,Bro4uOfficial,2018-07-18 10:21,0,0,Are you in search of Masons? Let us refer you the best #Masonry #contractors and Hire #masons online. at https:// goo.gl/j6KyUa or Call 080-30323232 #WorldEmojiDay #travelling #digital #ecommerce #smartphone #primeday #NelsonMandela pic.twitter.com/ZBNUhyfJFv,,,#Masonry #contractors #masons #WorldEmojiDay #travelling #digital #ecommerce #smartphone #primeday #NelsonMandela,1019444580217999360,https://twitter.com/Bro4uOfficial/status/1019444580217999360,search masons? let us refer best #masonry #contractors hire #masons online. call -30323232 #worldemojiday #travelling #digital #ecommerce #smartphone #primeday #nelsonmandela,0.181,0.0,0.819,0.6369,positive
214,nanasfrugal,2018-07-18 10:21,0,0,$26.98 #Amazon #PrimeDay + #LightningDeals RENPHO Rechargeable Hand Held Deep Tissue Massager (aff) https:// amzn.to/2NVR0ds pic.twitter.com/mvC2GCVUHN,,,#Amazon #PrimeDay #LightningDeals,1019444539403091968,https://twitter.com/nanasfrugal/status/1019444539403091968,$26.98 #amazon #primeday + #lightningdeals renpho rechargeable hand held deep tissue massager (aff),0.225,0.0,0.775,0.4939,positive
219,Investors365,2018-07-18 10:20,0,1,"Thank you @amazon for the @ring doorbell, @ring security cameras, irrigation smart tech system (16 zone), outdoor solar lights (for the Fall), pre-workout (3x) special, and a few other things... i couldnt help it.. I MUST go to bed now. Thank you #primeday #PrimeDay2018 #amazon",,@amazon @ring @ring,#primeday #PrimeDay2018 #amazon,1019444286209683461,https://twitter.com/Investors365/status/1019444286209683461,"thank @amazon @ring doorbell, @ring security cameras, irrigation smart tech system (16 zone), outdoor solar lights (for fall), pre-workout (3x) special, things... couldnt help it.. must go bed now. thank #primeday #primeday2018 #amazon",0.304,0.054,0.642,0.8605,positive
220,Cherelynn,2018-07-18 10:20,0,0,What's your favorite aspect of automotive maintenance? Get Under The Hood can help you find out! Available on @amazon now https:// amzn.to/2JkDKLZ #cars #femalefilmmaker #primeday pic.twitter.com/c1M52nDo0x,,@amazon,#cars #femalefilmmaker #primeday,1019444168261808129,https://twitter.com/Cherelynn/status/1019444168261808129,what's favorite aspect automotive maintenance? get hood help find out! available @amazon #cars #femalefilmmaker #primeday,0.316,0.0,0.684,0.7177,positive
223,SleekDeals,2018-07-18 10:18,9,1,Prime Day Special! Get Echo Show 2-Pack (Black & White) for $239.98! Save $220 off - https:// amzn.to/2Lmt9lq #PrimeDay2018 #PrimeDay #geek #deals #tech #amazon #home #gamedev #gadgets #gifts @amazonecho #smarthome #smarthouse #nerd #devices #sports #speaker #AmazonEcho pic.twitter.com/WALGpPjhqu,,@amazonecho,#PrimeDay2018 #PrimeDay #geek #deals #tech #amazon #home #gamedev #gadgets #gifts #smarthome #smarthouse #nerd #devices #sports #speaker #AmazonEcho,1019443806838624256,https://twitter.com/SleekDeals/status/1019443806838624256,prime day special! get echo show -pack (black & white) $239.98! save $220 - #primeday2018 #primeday #geek #deals #tech #amazon #home #gamedev #gadgets #gifts @amazonecho #smarthome #smarthouse #nerd #devices #sports #speaker #amazonecho,0.188,0.0,0.812,0.7568,positive
224,wirecutter,2018-07-18 10:17,2,6,"With only a few hours left until #PrimeDay officially ends (midnight PT), the deals have definitely slowed down—But we'll make sure to keep our deals page updated with any deals that are still hanging on through the rest of tomorrow: http:// wrctr.co/dealspage pic.twitter.com/fnxFTn9BPB",,,#PrimeDay,1019443603750424576,https://twitter.com/wirecutter/status/1019443603750424576,"hours left #primeday officially ends (midnight pt), deals definitely slowed down—but we'll make sure keep deals page updated deals still hanging rest tomorrow:",0.192,0.0,0.808,0.6124,positive
