,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,tweet_preprocessed,positive_score,negative_score,neutral_score,compound_score,sentiment
16,theJessie21,2018-07-18 11:30,0,0,"As Amazon marked its  #PrimeDay "" with price cuts across a range of products, founder and chief executive #JeffBezos saw his net worth hit new peaks, increasing his lead over fellow billionaires. #AmazonPrimeDay https://www. business-standard.com/article/compan ies/as-prices-drop-on-prime-day-amazon-s-jeff-bezos-sees-his-fortunes-soaring-118071800091_1.html?utm_source=SEO&utm_medium=ST …""",,,#PrimeDay #JeffBezos #AmazonPrimeDay,1019461836364832768,https://twitter.com/theJessie21/status/1019461836364832768,"amazon marked #primeday "" price cuts across range products, founder chief executive #jeffbezos saw net worth hit new peaks, increasing lead fellow billionaires. #amazonprimeday . ies/as-prices-drop-on-prime-day-amazon-s-jeff-bezos-sees-his-fortunes-soaring-118071800091_1.html?utm_source=seo&utm_medium=st …""",0.129,0.079,0.791,0.1027,neutral
18,BuzzFeed,2018-07-18 11:30,2,12,Jump on these affordable deals before #PrimeDay is officially over in an hour! https:// bzfd.it/2NkmQ2k,,,#PrimeDay,1019461766911275008,https://twitter.com/BuzzFeed/status/1019461766911275008,jump affordable deals #primeday officially hour!,0.0,0.0,1.0,0.0,neutral
20,CiowwDa,2018-07-18 11:29,0,0,@CiowwDa #epopeerusse #championdumonde2018 #PrimeDay #LaFranceUneChance #FiersdetreBleus #FRACRO #WorldCupFinal #AuCoeurDeLEpopeeRusse #Trump #ChampsElysees #0203chaudhary #1DDRIVE #1FIRST https:// twitter.com/ciowwda/status /963169661612371968 …,,@CiowwDa,#epopeerusse #championdumonde2018 #PrimeDay #LaFranceUneChance #FiersdetreBleus #FRACRO #WorldCupFinal #AuCoeurDeLEpopeeRusse #Trump #ChampsElysees #0203chaudhary #1DDRIVE #1FIRST,1019461707310215168,https://twitter.com/CiowwDa/status/1019461707310215168,@ciowwda #epopeerusse #championdumonde2018 #primeday #lafranceunechance #fiersdetrebleus #fracro #worldcupfinal #aucoeurdelepopeerusse #trump #champselysees #0203chaudhary #1ddrive #1first /963169661612371968 …,0.0,0.0,1.0,0.0,neutral
21,DViShall,2018-07-18 11:29,0,0,#KatGaya #primeday https:// twitter.com/rakeshkhabiya/ status/1019392255365279744 …,,,#KatGaya #primeday,1019461701505150981,https://twitter.com/DViShall/status/1019461701505150981,#katgaya #primeday status/1019392255365279744 …,0.0,0.0,1.0,0.0,neutral
22,KelleyRecruiter,2018-07-18 11:29,0,0,@amazon got squashed by @Target today.. #primeday #fail .. that is all for now. pic.twitter.com/ufPTeuUIvY,,@amazon @Target,#primeday #fail,1019461679237623808,https://twitter.com/KelleyRecruiter/status/1019461679237623808,@amazon got squashed @target today.. #primeday #fail .. now.,0.0,0.0,1.0,0.0,neutral
24,MissMunchhausen,2018-07-18 11:28,0,4,Nada de #PrimeDay ... Las personas antes que las cosas. Por rebajadas que estén las cosas. #HuelgaAmazon,,,#PrimeDay #HuelgaAmazon,1019461468968968192,https://twitter.com/MissMunchhausen/status/1019461468968968192,nada de #primeday ... las personas antes que las cosas. por rebajadas que estén las cosas. #huelgaamazon,0.0,0.0,1.0,0.0,neutral
25,aviationsteve,2018-07-18 11:28,0,0,"Der #PrimeDay ist vorbei und meine Hausbanken haben sich noch nicht besorgt telefonisch bei mir gemeldet... Hab ich dieses Jahr etwas falsch gemacht? Mal sehen, was mein Paketbote von mir hält...!",,,#PrimeDay,1019461274223202305,https://twitter.com/aviationsteve/status/1019461274223202305,"der #primeday ist vorbei und meine hausbanken haben sich noch nicht besorgt telefonisch bei mir gemeldet... hab ich dieses jahr etwas falsch gemacht? mal sehen, mein paketbote von mir hält...!",0.0,0.0,1.0,0.0,neutral
26,bioringe,2018-07-18 11:28,0,0,"Stolz auf mich! Dieses Jahr beim #PrimeDay NICHTS gekauft. Es hat einige male in den fingern ... ach lassen wir das . Tatsache, der Versuchung Wiederstanden. #Amazon #PrimeDay2018 pic.twitter.com/R3GP8qpnGD",,,#PrimeDay #Amazon #PrimeDay2018,1019461272377741313,https://twitter.com/bioringe/status/1019461272377741313,"stolz auf mich! dieses jahr beim #primeday nichts gekauft. es hat einige male den fingern ... ach lassen wir das . tatsache, der versuchung wiederstanden. #amazon #primeday2018",0.0,0.0,1.0,0.0,neutral
27,intheCUTTS,2018-07-18 11:28,0,0,https:// soundcloud.com/apollo-cutts/a lmost-outta-time … #AllStarGame #TrumpAndPutinAMovie #LOVEis #JudgeCuts #PrimeDay #LevelUp #WorldCupFinal #AllStarGame,,,#AllStarGame #TrumpAndPutinAMovie #LOVEis #JudgeCuts #PrimeDay #LevelUp #WorldCupFinal #AllStarGame,1019461265188622336,https://twitter.com/intheCUTTS/status/1019461265188622336,lmost-outta-time … #allstargame #trumpandputinamovie #loveis #judgecuts #primeday #levelup #worldcupfinal #allstargame,0.0,0.0,1.0,0.0,neutral
29,tsquiz10,2018-07-18 11:27,0,0,Streaming till 1am its 11 pm now so come join https:// youtu.be/QGF6gM609xU #CWLPS4 #GONINJAS #Greenwall #AllStarGame #TrumpAndPutinAMovie #ASG2018 #Putin #Trump #PrimeDay #fortnite #fortnitelive #fortnitestream #stream #LivePD,,,#CWLPS4 #GONINJAS #Greenwall #AllStarGame #TrumpAndPutinAMovie #ASG2018 #Putin #Trump #PrimeDay #fortnite #fortnitelive #fortnitestream #stream #LivePD,1019461198683574272,https://twitter.com/tsquiz10/status/1019461198683574272,streaming till pm come join #cwlps4 #goninjas #greenwall #allstargame #trumpandputinamovie #asg2018 #putin #trump #primeday #fortnite #fortnitelive #fortnitestream #stream #livepd,0.109,0.0,0.891,0.296,neutral
30,4rchitectural,2018-07-18 11:27,0,0,#architectural Change a room's vibe with the swipe of a finger: http:// archdg.co/qB2WJa9 #PrimeDay #GetClever,,,#architectural #PrimeDay #GetClever,1019461062863794181,https://twitter.com/4rchitectural/status/1019461062863794181,#architectural change room's vibe swipe finger: 9 #primeday #getclever,0.0,0.0,1.0,0.0,neutral
32,Ciaobellox3,2018-07-18 11:26,0,1,"Thank you #PrimeDay , for making me more in debt than I already am. #SoWorthIt",,,#PrimeDay #SoWorthIt,1019460963022471168,https://twitter.com/Ciaobellox3/status/1019460963022471168,"thank #primeday , making debt already am. #soworthit",0.25,0.25,0.5,0.0,neutral
33,alsusi,2018-07-18 11:25,1,1,"#WhatsItGonnaTake @TBSNetwork why was #PeopleOfEarth cancelled? Please reconsider, this show deserves a season 3 or at least an ending! #savepeopleofearth #tunein #ASG2018 #PrimeDay #humans @david_jenkins__ @TeamCoco @ConanOBrien",,@TBSNetwork @david_jenkins__ @TeamCoco @ConanOBrien,#WhatsItGonnaTake #PeopleOfEarth #savepeopleofearth #tunein #ASG2018 #PrimeDay #humans,1019460724161036288,https://twitter.com/alsusi/status/1019460724161036288,"#whatsitgonnatake @tbsnetwork #peopleofearth cancelled? please reconsider, show deserves season least ending! #savepeopleofearth #tunein #asg2018 #primeday #humans @david_jenkins__ @teamcoco @conanobrien",0.12,0.093,0.787,0.1511,neutral
34,AshSparklePants,2018-07-18 11:25,0,0,When you ask your husband why are there so many amazon boxes #PrimeDay2018 #PrimeDay pic.twitter.com/zDAB9siM8W,,,#PrimeDay2018 #PrimeDay,1019460575221428224,https://twitter.com/AshSparklePants/status/1019460575221428224,ask husband many amazon boxes #primeday2018 #primeday,0.221,0.0,0.779,0.1779,neutral
35,mr_hodes,2018-07-18 11:25,0,0,#PrimeDay supports nazis propaganda #AmazonStrike @slpng_giants,,@slpng_giants,#PrimeDay #AmazonStrike,1019460574889930752,https://twitter.com/mr_hodes/status/1019460574889930752,#primeday supports nazis propaganda #amazonstrike @slpng_giants,0.294,0.235,0.471,0.128,neutral
36,baratukin,2018-07-18 11:25,0,0,Reloj deportivo Suunto https:// baratukin.es/go/baratwit-21 /B00TIH4GGU/0/t/21?utm_source=twitter&utm_medium=tweet_descuento&utm_campaign=B00TIH4GGU … baja de 193.18€ a 143.45€. #primeday pic.twitter.com/yyUnIpVrhz,,,#primeday,1019460534624833536,https://twitter.com/baratukin/status/1019460534624833536,reloj deportivo suunto 21 /b00tih4ggu/0/t/21?utm_source=twitter&utm_medium=tweet_descuento&utm_campaign=b00tih4ggu … baja de 8€ 5€. #primeday,0.0,0.0,1.0,0.0,neutral
37,ArchDigest,2018-07-18 11:24,0,1,Change a room's vibe with the swipe of a finger: http:// archdg.co/qB2WJa9 #PrimeDay #GetClever,,,#PrimeDay #GetClever,1019460323584167937,https://twitter.com/ArchDigest/status/1019460323584167937,change room's vibe swipe finger: 9 #primeday #getclever,0.0,0.0,1.0,0.0,neutral
38,choose123jp,2018-07-18 11:23,0,0,今日からワイヤレスデビューします！ 完全ワイヤレスイヤホンならJaybird！今ならキャンペーン実施中！ → http:// aoptw.com/?c=10789_53389 #Jaybird #Amazon #PrimeDay,,,#Jaybird #Amazon #PrimeDay,1019460093992026114,https://twitter.com/choose123jp/status/1019460093992026114,今日からワイヤレスデビューします！ 完全ワイヤレスイヤホンならjaybird！今ならキャンペーン実施中！ → 89 #jaybird #amazon #primeday,0.0,0.0,1.0,0.0,neutral
40,MensStylePro,2018-07-18 11:22,0,0,Check out the @mensstylepro @amazon storefront!!! https://www. amazon.com/shop/mensstyle pro/ref=cm_sw_r_tw_loc_LhTtBb3QM4ZYB … | #primeday #style #menswear,,@mensstylepro @amazon,#primeday #style #menswear,1019459814030827520,https://twitter.com/MensStylePro/status/1019459814030827520,check @mensstylepro @amazon storefront!!! . pro/ref=cm_sw_r_tw_loc_lhttbb3qm4zyb … | #primeday #style #menswear,0.0,0.0,1.0,0.0,neutral
41,54housefm,2018-07-18 11:21,0,1,#Mainhall #Listen http:// main.54house.fm 09-12 cet 54house #MorningBreak 12-17 cet 54house #HotRotation 17-18 cet #JonThomas 18-19 cet @SunnyMarleen 19-20 cet #DJMister 20-21 cet #CubeGuys 21-22 cet #SuprimeRec #NelsonMandela #WorldEmojiDay #Zahltag #Urlaubsfilme #PrimeDay pic.twitter.com/AT75VIwWn0,,@SunnyMarleen,#Mainhall #Listen #MorningBreak #HotRotation #JonThomas #DJMister #CubeGuys #SuprimeRec #NelsonMandela #WorldEmojiDay #Zahltag #Urlaubsfilme #PrimeDay,1019459719247908864,https://twitter.com/54housefm/status/1019459719247908864,#mainhall #listen main.54house.fm -12 cet house #morningbreak -17 cet house #hotrotation -18 cet #jonthomas -19 cet @sunnymarleen -20 cet #djmister -21 cet #cubeguys -22 cet #suprimerec #nelsonmandela #worldemojiday #zahltag #urlaubsfilme #primeday 0,0.0,0.0,1.0,0.0,neutral
42,alsusi,2018-07-18 11:20,0,0,"@TBSNetwork why was #PeopleOfEarth cancelled? Please reconsider, this show deserves a season 3 or at least an ending! #PrimeDay #love #art #Repost #TuesdayThoughts #savepeopleofearth @david_jenkins__ @TeamCoco @ConanOBrien @thebrianhuskey @TheKenHall https:// twitter.com/PoE_TBS/status /912508689231134720 …",,@TBSNetwork @david_jenkins__ @TeamCoco @ConanOBrien @thebrianhuskey @TheKenHall,#PeopleOfEarth #PrimeDay #love #art #Repost #TuesdayThoughts #savepeopleofearth,1019459499176779776,https://twitter.com/alsusi/status/1019459499176779776,"@tbsnetwork #peopleofearth cancelled? please reconsider, show deserves season least ending! #primeday #love #art #repost #tuesdaythoughts #savepeopleofearth @david_jenkins__ @teamcoco @conanobrien @thebrianhuskey @thekenhall /912508689231134720 …",0.101,0.078,0.821,0.1511,neutral
43,amazon,2018-07-18 11:20,5,26,Whatever floats your boat this #PrimeDay . Inflatable kayaks from $59.99. https:// amzn.to/2NZ0rsL pic.twitter.com/k453QWTyOx,,,#PrimeDay,1019459357380096007,https://twitter.com/amazon/status/1019459357380096007,whatever floats boat #primeday . inflatable kayaks $59.99.,0.0,0.0,1.0,0.0,neutral
45,lfaguer,2018-07-18 11:20,0,2,"Les données sont de 2017, mais cela reste vrai : baisse de trafic significative du trafic #magasin durant Amazon #PrimeDay https:// tinyurl.com/ybblu37x @davidaKaplan @geomarketing @Foursquare #retail pic.twitter.com/O0LbmaqFK2",,@davidaKaplan @geomarketing @Foursquare,#magasin #PrimeDay #retail,1019459249515237378,https://twitter.com/lfaguer/status/1019459249515237378,"les données sont de , mais cela reste vrai : baisse de trafic significative du trafic #magasin durant amazon #primeday @davidakaplan @geomarketing @foursquare #retail 2",0.075,0.0,0.925,0.1779,neutral
46,Informatica_CGT,2018-07-18 11:19,7,3,#felizMiercoles hoy #18dejulio concentración a las 13:00h en San Fernando de Henares #HuelgaAmazon #AmazonPrimeDay #PrimeDay #amazon pic.twitter.com/4QTtzEdFm2,,,#felizMiercoles #18dejulio #HuelgaAmazon #AmazonPrimeDay #PrimeDay #amazon,1019459022825623553,https://twitter.com/Informatica_CGT/status/1019459022825623553,#felizmiercoles hoy #18dejulio concentración las :00h en san fernando de henares #huelgaamazon #amazonprimeday #primeday #amazon 2,0.0,0.0,1.0,0.0,neutral
48,NithyaRajagopal,2018-07-18 11:18,0,0,#PrimeDay was a NoCrimeDay in my queendom owing to Prohibition,,,#PrimeDay,1019458977602519040,https://twitter.com/NithyaRajagopal/status/1019458977602519040,#primeday nocrimeday queendom owing prohibition,0.0,0.0,1.0,0.0,neutral
49,Isl4s,2018-07-18 11:16,0,0,#PrimeDay @amazon necesitan mejorar sus ofertas en México. The highlight was the bookstore.,,@amazon,#PrimeDay,1019458431332356096,https://twitter.com/Isl4s/status/1019458431332356096,#primeday @amazon necesitan mejorar sus ofertas en méxico. highlight bookstore.,0.211,0.0,0.789,0.34,neutral
51,Batang_E,2018-07-18 11:15,0,0,#cebu #SG #ASG2018 #Pinoy #travel #alter #travelPinoy #Blessing #LevelUp #PrimeDay,,,#cebu #SG #ASG2018 #Pinoy #travel #alter #travelPinoy #Blessing #LevelUp #PrimeDay,1019458190746968064,https://twitter.com/Batang_E/status/1019458190746968064,#cebu #sg #asg2018 #pinoy #travel #alter #travelpinoy #blessing #levelup #primeday,0.0,0.0,1.0,0.0,neutral
52,YourInnerWords,2018-07-18 11:15,1,0,#writer #Writers #writingtips #writetip #writerscommunity #writersofig #poem #poetry #poetrycommunity #quote #quotes #love #lover #Inspiration #LOVEis #ENGvIND #PrimeDay #Mandela100 #MandelaDay pic.twitter.com/RHJS0TIzkR,,,#writer #Writers #writingtips #writetip #writerscommunity #writersofig #poem #poetry #poetrycommunity #quote #quotes #love #lover #Inspiration #LOVEis #ENGvIND #PrimeDay #Mandela100 #MandelaDay,1019458142604689408,https://twitter.com/YourInnerWords/status/1019458142604689408,#writer #writers #writingtips #writetip #writerscommunity #writersofig #poem #poetry #poetrycommunity #quote #quotes #love #lover #inspiration #loveis #engvind #primeday #mandela100 #mandeladay,0.0,0.0,1.0,0.0,neutral
54,tgthomas12,2018-07-18 11:15,0,1,#PrimeDay Prime Members purchase this #Kindle book Get 30% credit towards next ebook Learn more via #Amazon by @writeconstance https://www. amazon.com/gp/aw/d/B0786Y XBN9/ref=mp_s_a_1_2?ie=UTF8&qid=1520395387&sr=8-2&pi=AC_SX236_SY340_QL65&keywords=constance%20chronicles&dpPl=1&dpID=51bbk9uPbfL&ref=plSrch …,,@writeconstance,#PrimeDay #Kindle #Amazon,1019458026019926016,https://twitter.com/tgthomas12/status/1019458026019926016,#primeday prime members purchase #kindle book get % credit towards next ebook learn via #amazon @writeconstance . xbn9/ref=mp_s_a_1_2?ie=utf8&qid=1520395387&sr=8-2&pi=ac_sx236_sy340_ql65&keywords=constance%20chronicles&dppl=1&dpid=51bbk9upbfl&ref=plsrch …,0.14,0.0,0.86,0.3818,neutral
55,baratukin,2018-07-18 11:15,0,0,89.91€ menos en Samsung Gear 360 https:// baratukin.es/go/baratwit-21 /B00S4PN136/0/t/21?utm_source=twitter&utm_medium=tweet_descuento&utm_campaign=B00S4PN136 … ahora al mínimo de 99.89€ #primeday pic.twitter.com/ZqBzXIq4xP,,,#primeday,1019458018075971587,https://twitter.com/baratukin/status/1019458018075971587,1€ menos en samsung gear 21 /b00s4pn136/0/t/21?utm_source=twitter&utm_medium=tweet_descuento&utm_campaign=b00s4pn136 … ahora al mínimo de 9€ #primeday,0.0,0.0,1.0,0.0,neutral
57,SHIHYAFEN1,2018-07-18 11:14,0,0,Have you finished the crazy shopping of #PrimeDay ? Don't forget to seize every opportunity before the end of the #promotion ! https:// amzn.to/2NS5r2h pic.twitter.com/TI1XnAct6A,,,#PrimeDay #promotion,1019457988333953024,https://twitter.com/SHIHYAFEN1/status/1019457988333953024,finished crazy shopping #primeday ? forget seize every opportunity end #promotion !,0.195,0.319,0.486,-0.2003,neutral
58,oedrolighting,2018-07-18 11:13,0,0,Last chance to take advantage of our #PrimeDay deals for Jeep Wrangler. Don't miss out http:// amzn.to/2zwhwan #Jeep #Wrangler #upgradeyourjeep #OEDRO #autoparts #sale #lastchance pic.twitter.com/r9xy2ccobh,,,#PrimeDay #Jeep #Wrangler #upgradeyourjeep #OEDRO #autoparts #sale #lastchance,1019457650113667072,https://twitter.com/oedrolighting/status/1019457650113667072,last chance take advantage #primeday deals jeep wrangler. miss #jeep #wrangler #upgradeyourjeep #oedro #autoparts #sale #lastchance,0.215,0.086,0.699,0.34,neutral
59,beautybrandsbey,2018-07-18 11:12,0,0,"Qué paz! Que ya haya terminado el #PrimeDay ya mi cartera no aguantaba más, me la pase comprando todo lo que veía . Algunas cosas muy útiles, otras si eran puras pendejadas",,,#PrimeDay,1019457418592423936,https://twitter.com/beautybrandsbey/status/1019457418592423936,"qué paz! que ya haya terminado el #primeday ya mi cartera aguantaba más, la pase comprando todo lo que veía . algunas cosas muy útiles, otras si eran puras pendejadas",0.0,0.0,1.0,0.0,neutral
60,peeteco,2018-07-18 11:12,0,0,#PrimeDay #BoycottAmazon https:// twitter.com/ohJuliatweets/ status/1018876220480606208 …,,,#PrimeDay #BoycottAmazon,1019457394043179008,https://twitter.com/peeteco/status/1019457394043179008,#primeday #boycottamazon status/1018876220480606208 …,0.0,0.0,1.0,0.0,neutral
61,nanasfrugal,2018-07-18 11:12,0,0,$149.99 #Amazon #PrimeDay AMD Ryzen 5 1600 Processor with Wraith Spire Cooler #PC #Computers (aff) https:// amzn.to/2mo7K0j pic.twitter.com/G2MEQggjId,,,#Amazon #PrimeDay #PC #Computers,1019457341844905984,https://twitter.com/nanasfrugal/status/1019457341844905984,$149.99 #amazon #primeday amd ryzen processor wraith spire cooler #pc #computers (aff),0.0,0.0,1.0,0.0,neutral
62,Begottu1,2018-07-18 11:12,0,0,36時間限定！！！Jaybirdのイヤホンが安く手に入るチャンス！ 詳細はこちら→ http:// aoptw.com/?c=10787_88850 #Jaybird #Amazon #PrimeDay あと75,,,#Jaybird #Amazon #PrimeDay,1019457268645937152,https://twitter.com/Begottu1/status/1019457268645937152,時間限定！！！jaybirdのイヤホンが安く手に入るチャンス！ 詳細はこちら→ 0 #jaybird #amazon #primeday あと75,0.0,0.0,1.0,0.0,neutral
66,hiphop_militant,2018-07-18 11:09,0,0,Des salariés d’ #Amazon lancent un mouvement de grève en #Europe à l’occasion du #PrimeDay https:// mobile.lemonde.fr/entreprises/ar ticle/2018/07/17/des-salaries-d-amazon-lancent-un-mouvement-de-greve-en-europe-a-l-occasion-du-prime-day_5332768_1656994.html?xtref=https://t.co/X2jja8vZW8 …,,,#Amazon #Europe #PrimeDay,1019456613122486272,https://twitter.com/hiphop_militant/status/1019456613122486272,des salariés d’ #amazon lancent un mouvement de grève en #europe à l’occasion du #primeday ticle/2018/07/17/des-salaries-d-amazon-lancent-un-mouvement-de-greve-en-europe-a-l-occasion-du-prime-day_5332768_1656994.html?xtref=8 …,0.0,0.0,1.0,0.0,neutral
67,CaraaDenae,2018-07-18 11:09,0,0,Thank you #PrimeDay pic.twitter.com/Mk98naUWqs,,,#PrimeDay,1019456589571547136,https://twitter.com/CaraaDenae/status/1019456589571547136,thank #primeday,0.714,0.0,0.286,0.3612,neutral
68,karrrlamorales,2018-07-18 11:09,0,0,Qué bueno que solo me quedan 22 minutos de #PrimeDay pic.twitter.com/68bPgtomAr,,,#PrimeDay,1019456589470806021,https://twitter.com/karrrlamorales/status/1019456589470806021,qué bueno que solo quedan minutos de #primeday,0.0,0.0,1.0,0.0,neutral
69,niko6638,2018-07-18 11:09,0,0,Jaybirdのイヤホンが気になってます。 10％オフ！ PrimeDay36時間限定ですが、。すが、。 キャンペーンスタート！Jaybirdのイヤホンが10％オフ！ 今すぐチェック→ http:// aoptw.com/?c=10791_80 #Jaybird #Amazon #PrimeDay,,,#Jaybird #Amazon #PrimeDay,1019456520700882944,https://twitter.com/niko6638/status/1019456520700882944,jaybirdのイヤホンが気になってます。 ％オフ！ primeday36時間限定ですが、。すが、。 キャンペーンスタート！jaybirdのイヤホンが10％オフ！ 今すぐチェック→ 80 #jaybird #amazon #primeday,0.0,0.0,1.0,0.0,neutral
70,KanakeSatish,2018-07-18 11:09,1,0,#BJPKeCorruptCS #HappyBirthdayPriyankaChopra #PrimeDay pic.twitter.com/tFF3kH7xl4,,,#BJPKeCorruptCS #HappyBirthdayPriyankaChopra #PrimeDay,1019456499276484608,https://twitter.com/KanakeSatish/status/1019456499276484608,#bjpkecorruptcs #happybirthdaypriyankachopra #primeday,0.0,0.0,1.0,0.0,neutral
71,willaedwards,2018-07-18 11:08,0,0,Couldn’t decide on whether to get another kindle fire or switch to a kindle. With #PrimeDay counting down I resolved to buy both and decide later. So stay tuned for a #giveaway for one of these devices,,,#PrimeDay #giveaway,1019456415436562432,https://twitter.com/willaedwards/status/1019456415436562432,couldn’t decide whether get another kindle fire switch kindle. #primeday counting resolved buy decide later. stay tuned #giveaway one devices,0.077,0.109,0.814,-0.1779,neutral
72,SeedGym,2018-07-18 11:08,1,1,#WorldCup #PrimeDay #football pic.twitter.com/e1006hJMmg,,,#WorldCup #PrimeDay #football,1019456277326413824,https://twitter.com/SeedGym/status/1019456277326413824,#worldcup #primeday #football,0.0,0.0,1.0,0.0,neutral
73,astradepotcorp,2018-07-18 11:07,0,1,Prime Day Ends Tonight Get the final discount ===== Our storefront on Amazon http:// amzn.to/2q1WGZ6 Email: astradepot@gmail.com #astradepot #harley #harleydavidson #Jeep #harleydavidsonmotorcycles #motorcycle #motorbike #primeday #amazon pic.twitter.com/oGb3CdfKxD,,@gmail,#astradepot #harley #harleydavidson #Jeep #harleydavidsonmotorcycles #motorcycle #motorbike #primeday #amazon,1019456025873674240,https://twitter.com/astradepotcorp/status/1019456025873674240,prime day ends tonight get final discount ===== storefront amazon email: astradepot@gmail.com #astradepot #harley #harleydavidson #jeep #harleydavidsonmotorcycles #motorcycle #motorbike #primeday #amazon,0.078,0.0,0.922,0.1779,neutral
74,JonWarrenPhoto,2018-07-18 11:06,0,1,"Wanted a DSLR battery holder. Looked on Amazon for #PrimeDay , then looked at my past orders. Learned I had one. Checked my storage room. Realized where it would be was under 30 boxes. Bought a new one. #sigh Hopefully I can put that crap back into real storage soon.",,,#PrimeDay #sigh,1019455830838661120,https://twitter.com/JonWarrenPhoto/status/1019455830838661120,"wanted dslr battery holder. looked amazon #primeday , looked past orders. learned one. checked storage room. realized would boxes. bought new one. #sigh hopefully put crap back real storage soon.",0.133,0.079,0.788,0.2023,neutral
